id,cpu_request,mem_request,inter_arrival_us,life_time_us,priority
clusterdata_2019_a:398747897290:2350,0.0041351318359375,0.0104217529296875,1,50000000,0
clusterdata_2019_a:381939181411:656,0.025970458984375,0.00580596923828125,1,2429000000,0
clusterdata_2019_a:400359515264:8597,0.008636474609375,0.00543975830078125,0,248000000,105
clusterdata_2019_a:380704479310:16,0.002025604248046875,0.00140380859375,1,10790000000,118
clusterdata_2019_a:382928304632:3024,0.0041351318359375,0.00650787353515625,1,69000000,0
clusterdata_2019_a:379463400410:950,0.0088958740234375,0.00579833984375,1,249000000,0
clusterdata_2019_a:399529769279:203,0.01593017578125,0.00739288330078125,1,610000000,0
clusterdata_2019_a:381148241923:4082,0.002201080322265625,0.0006361007690429688,1,941270000000,0
clusterdata_2019_a:380127280086:98,0.00096893310546875,0.0010547637939453125,1,92000000,0
clusterdata_2019_a:375070800586:265,0.00566864013671875,0.001888275146484375,1,83000000,0
clusterdata_2019_a:400084510919:1336,0.007659912109375,0.0048675537109375,1,58000000,0
clusterdata_2019_a:382282654967:654,0.003520965576171875,0.0019435882568359375,1,3196000000,0
clusterdata_2019_a:398943902641:2204,0.013214111328125,0.00958251953125,1,27000000,0
clusterdata_2019_a:380646298685:96,0.0042266845703125,0.00336456298828125,1,26000000,200
clusterdata_2019_a:385549130987:244,0.002025604248046875,0.0016574859619140625,1,113000000,0
clusterdata_2019_a:381307661692:9519,0.00566864013671875,0.00262451171875,1,179760000000,0
clusterdata_2019_a:393191502904:388,0.007843017578125,0.00650787353515625,1,114000000,0
clusterdata_2019_a:399520802443:463,0.00624847412109375,0.00229644775390625,1,957000000,0
clusterdata_2019_a:393188812171:218,0.00748443603515625,0.00650787353515625,1,750000000,0
clusterdata_2019_a:397261288940:2,0.002552032470703125,0.00354766845703125,0,222000000,103
clusterdata_2019_a:378654168510:71,0.00519561767578125,0.0032501220703125,1,109000000,200
